epoch,train,val,train_data,val_mse,phys,train_total,val_raw,train_phys
0,1.0027017544588297,0.9717366753498966,0.9866898917770102,0.9839744169650149,0.1,1.0,1.0,0.1
1,0.9339482530743941,0.9581441930452107,0.9361294690921489,0.9549038598414064,0.09411939401248326,0.950749126896934,0.9604013198123578,0.09411939401248326
2,0.9046333165165535,0.9137825295916723,0.9141469530558518,0.959125025302493,0.08858460329277068,0.9039239022952824,0.9223706950973188,0.08858460329277068
3,0.8793060235850684,0.8848071739752285,0.8477324881398228,0.868081219050587,0.08337529180751807,0.8594048608885093,0.8858460329277068,0.08337529180751807
4,0.8185541631373053,0.8520718905233038,0.8309993707411732,0.8760381429065516,0.07847231940537559,0.8170784211407314,0.850767699174311,0.07847231940537559
5,0.7537519270149178,0.8099183619262803,0.7731488707402818,0.8145586530246438,0.07385767149187981,0.7768365955058757,0.8170784211407313,0.07385767149187981
6,0.7401400166016935,0.7903884548254095,0.7412604356712091,0.7684867995638537,0.06951439283988788,0.7385767149187981,0.7847231940537559,0.06951439283988788
7,0.7079689239559279,0.7384828375126264,0.6993637576461175,0.7487793755582918,0.06542652529235952,0.7022011668554531,0.7536491912565961,0.06542652529235952
8,0.6771772953325534,0.7443374716175345,0.6660332276294109,0.7366182775168422,0.06157904912859287,0.6676171462938303,0.7238056779583509,0.06157904912859287
9,0.6365387896093856,0.7112237122270816,0.6354008585016307,0.6865300109430468,0.05795782787848095,0.6347364189402819,0.6951439283988787,0.05795782787848095
10,0.6142556497430838,0.653647829535984,0.6171599585020243,0.6923600035874046,0.05454955638202435,0.6034750961171595,0.6676171462938303,0.05454955638202435
11,0.567256900498266,0.6532267982524347,0.5618925031270067,0.6438919358487368,0.0513417119032592,0.5737534207374327,0.6411803884299546,0.0513417119032592
12,0.5400842038100729,0.6119501196810041,0.5486246986622471,0.6192781062158962,0.048322508118982546,0.5454955638202434,0.6157904912859287,0.048322508118982546
13,0.5264366451422391,0.6114511600623264,0.4979894305134925,0.611332384524324,0.0454808518132194,0.5186294310282473,0.591406000558906,0.0454808518132194
14,0.47392070119233765,0.5420409583741828,0.5044751505929311,0.5767907536717617,0.042806302118317596,0.4930864787331598,0.5679871034817213,0.042806302118317596
15,0.46998080301716355,0.5432987165666524,0.46775381739968247,0.5371694334356302,0.040289032152913296,0.4688015391402353,0.5454955638202434,0.040289032152913296
16,0.44152382928337147,0.5075474849435745,0.43674137447452666,0.5373231166622572,0.037919792915816534,0.44571265402551763,0.5238946594447481,0.037919792915816534
17,0.4333607327725461,0.4959555060817497,0.4226829947741186,0.5298661857272923,0.03568987930315508,0.4237609166616761,0.5031491223733818,0.03568987930315508
18,0.41351127128603504,0.502904195748947,0.40727298401444173,0.4676891934609147,0.033591098123916245,0.402890321529133,0.48322508118982543,0.033591098123916245
19,0.38051294469383484,0.49594041805037925,0.38369593476486474,0.45822095994368855,0.0316157379963686,0.38304762142904825,0.46409000574114206,0.0316157379963686
20,0.3851040911521562,0.3921472070595813,0.3605284403191777,0.4809490891433239,0.029756541014756534,0.3641821916336149,0.4457126540255176,0.029756541014756534
21,0.3354602163685865,0.4254545947547271,0.3498856444000475,0.4280379655032135,0.02800667608216489,0.34624590072707134,0.4280630211831759,0.02800667608216489
22,0.319088042529054,0.40809554801712916,0.310500921916742,0.43518612294292536,0.026359713811572674,0.32919298780790557,0.4111122905071874,0.026359713811572674
23,0.3066869121460835,0.38998767016909586,0.31773308625743113,0.3864339196932507,0.024809602902877054,0.3129799457389593,0.39483278639418423,0.024809602902877054
24,0.30204636590247946,0.3787302263423868,0.30009063854501034,0.37418048289855865,0.02335064790909134,0.2975654101475653,0.3791979291581653,0.02335064790909134
25,0.2914623942655789,0.3388050007285957,0.2828900919163753,0.34591682436896093,0.02197748831002536,0.2829100538925259,0.3641821916336149,0.02197748831002536
26,0.278206981979808,0.38104874108674963,0.2613825693676963,0.35556753131720653,0.020685078816560218,0.2689764867286835,0.34976105749708075,0.020685078816560218
27,0.2519435498713125,0.2901968616215173,0.2612665440371469,0.3219305359354897,0.019468670833151014,0.25572915991310063,0.33591098123916235,0.019468670833151014
28,0.23861043219660338,0.333253293179847,0.2320919491039422,0.3368498280597715,0.01832379501044681,0.24313427550946684,0.32260934972155564,0.01832379501044681
29,0.2265705916633236,0.28187431101513283,0.23428726046150233,0.3256974187628275,0.017246244823922185,0.23115970015934426,0.3098344452563886,0.017246244823922185
30,0.2163542527888387,0.2741782477688717,0.21761054127326931,0.2858562947579199,0.016232061118184815,0.2197748831002536,0.2975654101475653,0.016232061118184815
31,0.2086082489614534,0.2827118533309271,0.20483949430332943,0.28263825115001207,0.015277517560171462,0.2089507782214419,0.28578221263622733,0.015277517560171462
32,0.19761441499747578,0.28766912630328895,0.21794158915801695,0.3043827909700939,0.014379106947784097,0.19865976995847076,0.2744656141947286,0.014379106947784097
33,0.19136539732053578,0.27206572926482614,0.20026308137782373,0.259096798170452,0.013533528323661271,0.18887560283756183,0.2635971381157267,0.013533528323661271
34,0.16853436811701317,0.2433190765128109,0.17261803815573973,0.2829456102579565,0.012737674846737771,0.179573314489944,0.2531590393451043,0.012737674846737771
35,0.19497202331694563,0.2570824462755446,0.17451963150152872,0.23582856326339946,0.011988622377030096,0.1707291719653028,0.24313427550946679,0.011988622377030096
36,0.16782455712640482,0.22225248440529977,0.17403040726046068,0.2306150739274939,0.011283618731705691,0.16232061118184818,0.23350647909091338,0.011283618731705691
37,0.1445750617506127,0.252243436906335,0.13569979604585325,0.21820500088304506,0.010620073572960442,0.15432617935851886,0.22425993070364994,0.010620073572960442
38,0.14235182968557758,0.23184181889908534,0.13092113283300172,0.2207355431473941,0.009995548890550246,0.14672548028245147,0.2153795334288133,0.009995548890550246
39,0.13936341829179977,0.2262261922668954,0.13689337765335743,0.23023491259108358,0.009407750044007387,0.13949912227207403,0.20685078816560212,0.009407750044007387
40,0.1286226284991424,0.23692276473124407,0.1300843941960195,0.18752104027477853,0.008854517331628878,0.13262866870306303,0.1986597699584707,0.008854517331628878
41,0.13349657102403198,0.17352507712459678,0.12869843682754328,0.2167635839690392,0.008333818055259403,0.12609659097093995,0.19079310526173465,0.008333818055259403
42,0.12273299936853757,0.18920681550232477,0.11726433201699757,0.15897071860471626,0.007843739051713067,0.11988622377030095,0.1832379501044681,0.007843739051713067
43,0.11251017734540063,0.15532776777584711,0.124732862535154,0.17925752531897324,0.00738247966339284,0.11398172257658408,0.17598196912004213,0.00738247966339284
44,0.09755815471433901,0.20452302332678962,0.10681368068980586,0.14596963785362066,0.006948345122280152,0.10836802322189586,0.16901331540606607,0.006948345122280152
